product_id,name,price,image,category,brand,description
22,Hermes Amulette Necklace,4500,jewellery/hermes_necklace.png,Jewellery,Hermes,A minimalist rose gold pendant bearing the discreet Hermes H signature. Understated luxury at its finest — the perfect everyday talisman for the discerning collector.
23,YSL Classic Dark Shades,450,accessories/ysl 1.jpeg,Accessories,Saint Laurent,Sleek rectangular frames in matte black acetate with dark grey gradient lenses. The YSL monogram adorns each temple — understated luxury for the modern icon.
24,YSL Cat Print Shades,650,accessories/ysl 2.jpeg,Accessories,Saint Laurent,A bold cat-eye silhouette with the Saint Laurent logo in gold-toned hardware. Crafted in Italian acetate — the ultimate accessory for the fashion-forward woman.
25,YSL Snow Sunnies Midnight,950,accessories/ysl 3.jpeg,Accessories,Saint Laurent,Shield-style sunglasses in Midnight Black with mirrored lenses. Futuristic and fierce — a statement piece from Saint Laurent avant-garde eyewear line.
26,YSL Snow Sunnies Sunlight,950,accessories/ysl 4.jpeg,Accessories,Saint Laurent,The same iconic shield silhouette in gold-tinted lenses with a champagne frame. Luminous and commanding — made for those who prefer their luxury sun-kissed.
27,Chanel Mini Classic Handbag,5888,bags/chanel_bag.png,Bags,Chanel,"The iconic Chanel Classic Flap in mini size, crafted from lambskin leather with gold-toned hardware. A timeless investment piece that transcends every season."
28,Loewe Puzzle Bag Sage Green,4200,bags/loewe_bag.png,Bags,Loewe,"The architectural Puzzle bag in soft sage green calfskin. Loewe's most iconic silhouette — geometric, functional, and unmistakably modern."
29,Louis Vuitton Speedy Bandouliere 20,2500,bags/lv_bag.png,Bags,Louis Vuitton,The compact Speedy Bandouliere in the signature Monogram canvas with a detachable shoulder strap. A wardrobe staple reimagined for the contemporary woman.
30,Miu Miu Wander Hobo Bag,3700,bags/miumiu_bag.png,Bags,Miu Miu,The Wander hobo in soft matelasse nappa leather with Miu Miu's signature ruching. Effortlessly chic and unmistakably feminine.
31,Saint Laurent Le 5 A 7 Hobo,3200,bags/ysl_bag.png,Bags,Saint Laurent,The Le 5 A 7 in smooth black leather with a sleek crescent silhouette. A modern Saint Laurent icon that moves effortlessly from day to evening.
32,Gucci Belt with Interlocking G Buckle,450,accessories/gucci_belt.png,Accessories,Gucci,The iconic Gucci belt in black leather with the signature interlocking G buckle in palladium-toned hardware. A versatile accessory that elevates any outfit with a touch of Italian luxury.
33,Gucci Reversible Belt with Interlocking G Buckle,550,accessories/gucci_reversible_belt.png,Accessories,Gucci,"The ultimate in versatility, this reversible Gucci belt features the iconic interlocking G buckle in palladium-toned hardware. One side in classic black leather, the other in rich brown."
34,Celine Triomphe Cap in Cotton Canvas,350,accessories/celine_cap.png,Accessories,Celine,The Triomphe cap in durable cotton canvas with the signature Celine Triomphe motif embroidered on the front. A stylish and practical accessory for sunny days.
35,Miu Miu Denim Baseball Cap in Beige Amaranth,550,accessories/miumiu_cap.png,Accessories,Miu Miu,A classic baseball cap in soft denim with the signature Miu Miu logo on the front. Perfect for adding a touch of effortless style to any casual outfit.
36,Dior B23 League Low-Top Sneaker,1200,shoes/diorlow_shoes.png,Shoes,Dior,The Dior B23 League low-top sneaker in premium leather with the signature Dior logo. A versatile and comfortable choice for everyday wear.
37,Dior B23 League High-Top Sneaker,1500,shoes/diorhigh_shoes.png,Shoes,Dior,The Dior B23 League high-top sneaker in premium leather with the signature Dior logo. A versatile and comfortable choice for everyday wear.
38,Louis Vuitton Flared Sleeve Lavalliare Blouse,2500,clothes/lv_clothes.png,Clothes,Louis Vuitton,The iconic Louis Vuitton flared sleeve lavalliare blouse in premium cotton with the signature LV monogram. A timeless piece that combines elegance with modern sophistication.
39,Prada Cropped Cotton Cardigan,1800,clothes/prada_clothes.png,Clothes,Prada,A chic cropped cardigan in soft cotton with Prada's signature logo buttons. Perfect for layering or wearing on its own for a touch of understated luxury.
